server;memory;storage;location;price
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;FrankfurtFRA-10;€9,499
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$410.99
HP DL120G7Intel G850;4GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$97.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;DallasDAL-10;$206.99
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;DallasDAL-10;$451.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;2x1TBSATA2;Hong KongHKG-10;S$719.99
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$349.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$461.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;Washington D.C.WDC-01;$169.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;San FranciscoSFO-12;$327.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€27,799
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€36,799
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€38,999
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$333.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$441.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$467.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;DallasDAL-10;$200.99
Dell R5102x Intel Xeon E5620;8GBDDR3;2x1TBSATA2;DallasDAL-10;$195.99
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;DallasDAL-10;$217.99
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;DallasDAL-10;$367.79
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$250.99
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$255.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;DallasDAL-10;$327.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;Washington D.C.WDC-01;$200.99
Dell R5102x Intel Xeon E5620;8GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$195.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;FrankfurtFRA-10;€34,199
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;DallasDAL-10;$410.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$255.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;San FranciscoSFO-12;$327.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$255.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;Washington D.C.WDC-01;$327.99
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$255.99
IBM X36302x Intel Xeon E5620;16GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$202.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$250.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$255.99
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;Washington D.C.WDC-01;$367.79
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;San FranciscoSFO-12;$200.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$250.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$333.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$441.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€27,999
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$335.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$335.99
HP DL160 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$412.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$467.99
HP DL180 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€34,399
HP DL180 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$412.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€9,999
HP DL120G6Intel G6950;4GBDDR3;4x500GBSATA2;Washington D.C.WDC-01;$79.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;DallasDAL-10;$135.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x500GBSATA2;DallasDAL-10;$140.99
Supermicro SC813MTQIntel Xeon E5-1650v2;64GBDDR3;2x120GBSSD;San FranciscoSFO-12;$233.99
Supermicro SC813MTQIntel Xeon E5-1650v2;64GBDDR3;2x120GBSSD;Washington D.C.WDC-01;$233.99
HP DL120G6Intel Xeon X3440;8GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$99.99
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;DallasDAL-10;$151.99
Supermicro SC813MTQIntel Xeon E5-1650v2;64GBDDR3;2x120GBSSD;DallasDAL-10;$233.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$140.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$135.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$1953.99
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$2141.99
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€106,999
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$2412.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€78,199
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€89,999
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;Washington D.C.WDC-01;$451.99
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;FrankfurtFRA-10;€37,599
Dell R210-IIIntel Xeon E3-1230v2;16GBDDR3;2x500GBSATA2;FrankfurtFRA-10;€9,699
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;FrankfurtFRA-10;€27,299
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;FrankfurtFRA-10;€16,699
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;FrankfurtFRA-10;€19,099
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€21,299
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;FrankfurtFRA-10;€24,699
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€19,099
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;Washington D.C.WDC-01;$230.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$719.99
HP DL180G62x Intel Xeon E5620;8GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$143.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;San FranciscoSFO-12;$111.99
Dell R210Intel Xeon X3430;8GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$61.99
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$127.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$111.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$116.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$386.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;DallasDAL-10;$176.99
Dell R5102x Intel Xeon E5620;8GBDDR3;2x1TBSATA2;DallasDAL-10;$171.99
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;DallasDAL-10;$193.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;DallasDAL-10;$230.99
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;DallasDAL-10;$230.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$226.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$231.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;DallasDAL-10;$303.99
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;DallasDAL-10;$427.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;2x1TBSATA2;Hong KongHKG-10;S$569.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€14,699
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$464.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$576.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;Washington D.C.WDC-01;$280.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€25,799
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€34,799
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$309.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$417.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$443.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€36,999
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$231.99
Dell R720XD2x Intel Xeon E5-2640v2;64GBDDR3;8x1TBSATA2;FrankfurtFRA-10;€27,900
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;FrankfurtFRA-10;€32,199
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;DallasDAL-10;$386.99
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$231.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;2x1TBSATA2;SingaporeSIN-11;S$569.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$309.99
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$417.99
HP DL160 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€32,399
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€25,999
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$311.99
HP DL160 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$388.99
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$311.99
HP DL160 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$388.99
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$443.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€9,699
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;DallasDAL-10;$111.99
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x500GBSATA2;DallasDAL-10;$116.99
Supermicro SC813MTQIntel Xeon E5-1650v2;64GBDDR3;2x120GBSSD;Washington D.C.WDC-01;$209.99
HP DL120G6Intel Xeon X3440;8GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$75.99
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;DallasDAL-10;$127.99
Supermicro SC813MTQIntel Xeon E5-1650v2;64GBDDR3;2x120GBSSD;DallasDAL-10;$209.99
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;FrankfurtFRA-10;€9,299
HP DL120G6Intel G6950;4GBDDR3;4x500GBSATA2;Washington D.C.WDC-01;$55.99
Supermicro SC813MTQIntel Xeon E5-1650v2;64GBDDR3;2x120GBSSD;San FranciscoSFO-12;$209.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$1553.99
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$1741.99
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€104,999
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$2012.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€76,199
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€87,999
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;Washington D.C.WDC-01;$427.99
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;FrankfurtFRA-10;€35,599
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;FrankfurtFRA-10;€22,699
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€19,299
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;FrankfurtFRA-10;€25,299
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;FrankfurtFRA-10;€17,099
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;FrankfurtFRA-10;€17,099
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;San FranciscoSFO-12;$200.99
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;San FranciscoSFO-12;$200.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$226.99
Dell R5102x Intel Xeon E5504;4GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$110.99
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;Washington D.C.WDC-01;$176.99
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;Washington D.C.WDC-01;$193.99
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;Washington D.C.WDC-01;$200.99
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;Washington D.C.WDC-01;$230.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$231.99
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$231.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;Washington D.C.WDC-01;$303.99
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;San FranciscoSFO-12;$303.99
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$226.99
Dell R5102x Intel Xeon E5620;8GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$171.99
HP DL120G6Intel Xeon X3440;4GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$236.79
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$272.79
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$277.79
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$288.79
Dell R210Intel Xeon X3440;16GBDDR3;2x2TBSATA2;Washington D.C.WDC-01;$237.79
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;San FranciscoSFO-12;$272.79
Dell R210Intel Xeon X3430;8GBDDR3;2x500GBSATA2;Washington D.C.WDC-01;$222.79
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;FrankfurtFRA-10;€22,699
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€23,099
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$547.79
Dell R5102x Intel Xeon E5620;8GBDDR3;2x1TBSATA2;DallasDAL-10;$332.79
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;DallasDAL-10;$337.79
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;DallasDAL-10;$354.79
HP DL380eG82x Intel Xeon E5-2420;64GBDDR3;8x2TBSATA2;DallasDAL-10;$367.79
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;DallasDAL-10;$367.79
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$387.79
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$392.79
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;DallasDAL-10;$464.79
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;DallasDAL-10;$588.79
Dell R730XD2x Intel Xeon E5-2620v4;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$994.99
Dell R730XD2x Intel Xeon E5-2650v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$1106.99
DL20G9Intel Xeon E3-1270v5;16GBDDR4;2x1TBSATA2;Washington D.C.WDC-01;$810.99
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;Washington D.C.WDC-01;$1055.99
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€39,199
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€48,199
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$578.79
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$470.79
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€50,399
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$604.79
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;DallasDAL-10;$392.79
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;FrankfurtFRA-10;€45,599
Dell R730XD2x Intel Xeon E5-2630v4;128GBDDR4;4x480GBSSD;DallasDAL-10;$547.79
IBM X36302x Intel Xeon E5620;16GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$339.79
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$392.79
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;San FranciscoSFO-12;$464.79
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$392.79
Dell R730XD2x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$470.79
Dell R730XD2x Intel Xeon E5-2650v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$578.79
HP DL160 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;FrankfurtFRA-10;€45,799
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€39,399
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$472.79
HP DL180 G92x Intel Xeon E5-2620v3;64GBDDR4;2x120GBSSD;DallasDAL-10;$472.79
HP DL160 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$549.79
Dell R730XD2x Intel Xeon E5-2670v3;128GBDDR4;2x120GBSSD;DallasDAL-10;$604.79
HP DL180 G92x Intel Xeon E5-2630v3;128GBDDR4;2x120GBSSD;Washington D.C.WDC-01;$549.79
Supermicro SC813MTQIntel Xeon E5-1650v2;64GBDDR3;2x120GBSSD;Washington D.C.WDC-01;$370.79
Supermicro SC813MTQIntel Xeon E5-1650v2;64GBDDR3;2x120GBSSD;San FranciscoSFO-12;$370.79
HP DL120G7Intel Xeon E3-1230;16GBDDR3;2x500GBSATA2;DallasDAL-10;$272.79
HP DL120G7Intel Xeon E3-1270;16GBDDR3;2x1TBSATA2;DallasDAL-10;$277.79
Dell R210-IIIntel Xeon E3-1270v2;16GBDDR3;2x1TBSATA2;DallasDAL-10;$288.79
Supermicro SC813MTQIntel Xeon E5-1650v2;64GBDDR3;2x120GBSSD;DallasDAL-10;$370.79
HP DL120G6Intel G6950;4GBDDR3;4x500GBSATA2;Washington D.C.WDC-01;$216.79
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$4203.99
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$4391.99
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€118,399
Dell R9304x Intel Xeon E7-4850v3;64GBDDR4;2x120GBSSD;SingaporeSIN-11;S$4662.99
Dell R9304x Intel Xeon E7-4820v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€89,599
Dell R9304x Intel Xeon E7-4830v3;64GBDDR4;2x120GBSSD;FrankfurtFRA-10;€101,399
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;Washington D.C.WDC-01;$588.79
Supermicro SC846Intel Xeon E5620;32GBDDR3;24x1TBSATA2;FrankfurtFRA-10;€48,999
Dell R7202x Intel Xeon E5-2643;32GBDDR3;2x120GBSSD;FrankfurtFRA-10;€36,099
Dell R720XD2x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;FrankfurtFRA-10;€32,699
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;FrankfurtFRA-10;€28,099
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;FrankfurtFRA-10;€30,499
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;FrankfurtFRA-10;€38,699
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;San FranciscoSFO-12;$367.79
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;San FranciscoSFO-12;$387.79
Dell R5102x Intel Xeon E5504;4GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$271.79
Dell R5102x Intel Xeon E5620;8GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$332.79
HP DL180G62x Intel Xeon E5620;32GBDDR3;8x300GBSAS;Washington D.C.WDC-01;$337.79
HP DL180G62x Intel Xeon E5645;32GBDDR3;8x2TBSATA2;Washington D.C.WDC-01;$354.79
HP DL380eG82x Intel Xeon E5-2420;16GBDDR3;8x3TBSATA2;Washington D.C.WDC-01;$367.79
HP DL380pG82x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$392.79
HP DL380pG82x Intel Xeon E5-2650;128GBDDR3;1x120GBSSD;Washington D.C.WDC-01;$464.79
IBM X3650M42x Intel Xeon E5-2620;32GBDDR3;2x1TBSATA2;Washington D.C.WDC-01;$387.79
HP DL120G7Intel Xeon E3-1230;8GBDDR3;4x500GBSATA2;Washington D.C.WDC-01;$2169.99
HP DL380pG82x Intel Xeon E5-2620;8GBDDR3;4x1TBSATA2;DallasDAL-10;$2289.99
HP DL380pG82x Intel Xeon E5-2650;8GBDDR3;4x1TBSATA2;DallasDAL-10;$2361.99
HP DL120G7Intel Xeon E3-1230;8GBDDR3;4x500GBSATA2;DallasDAL-10;$2169.99
HP DL380pG82x Intel Xeon E5-2650;8GBDDR3;4x1TBSATA2;FrankfurtFRA-10;€196,799
HP DL380pG82x Intel Xeon E5-2620;8GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$2289.99
HP DL380pG82x Intel Xeon E5-2650;8GBDDR3;4x1TBSATA2;Washington D.C.WDC-01;$2361.99
